datetime,city,state,country,shape,duration,comments,latitude,longitude,region,us_region
10/10/1949 20:30,san marcos,TX,US,cylinder,2700,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,29.8830556,-97.9411111,US,Southeast
10/10/1949 21:00,lackland afb,TX,US,light,7200,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,29.38421,-98.581082,US,Southeast
10/10/1955 17:00,chester (uk/england),EUROPE,GB,circle,20,Green/Orange circular disc over Chester&#44 England,53.2,-2.916667,Europe,EUROPE
10/10/1956 21:00,edna,TX,US,circle,20,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,28.9783333,-96.6458333,US,Southeast
10/10/1960 20:00,kaneohe,HI,US,light,900,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,21.4180556,-157.8036111,US,West
10/10/1961 19:00,bristol,TN,US,sphere,300,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,36.595,-82.1888889,US,Southeast
10/10/1966 20:00,pell city,AL,US,disk,180,Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama,33.5861111,-86.2861111,US,Southeast
10/10/1968 19:00,brevard,NC,US,fireball,180,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,35.2333333,-82.7344444,US,Southeast
10/10/1974 23:00,hudson,KS,US,light,1200,The light chased us.,38.1055556,-98.6597222,US,Midwest
10/10/1977 12:00,san antonio,TX,US,other,30,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,29.4238889,-98.4933333,US,Southeast
10/10/1977 22:00,louisville,KY,US,light,30,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,38.2541667,-85.7594444,US,Southeast
10/10/1979 0:00,poughkeepsie,NY,US,chevron,900,1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features.,41.7002778,-73.9213889,US,Northeast
10/10/1980 19:00,houston,TX,US,sphere,180,Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.,29.7630556,-95.3630556,US,Southeast
10/10/1980 23:30,manchester,NH,US,light,300,A red glowing sphere stopped and watched me.,42.9955556,-71.4552778,US,Northeast
10/10/1988 21:00,new gloucester,ME,US,unknown,120,I&#39m still afraid to look at the sky at night.,43.9627778,-70.2830556,US,Northeast
10/10/1988 22:00,boulder,CO,US,light,60,Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish,40.015,-105.27,US,West
10/10/1992 17:00,panama city,FL,US,formation,3600,During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.,30.1586111,-85.6602778,US,Southeast
